WARNING:  [07-05-2026 16:12:06] chroma_server_nofile is set to 65535, but this is less than current soft limit of 1048576. chroma_server_nofile will not be set.
INFO:     [07-05-2026 16:12:06] Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
DEBUG:    [07-05-2026 16:12:06] Starting component System
DEBUG:    [07-05-2026 16:12:06] Starting component OpenTelemetryClient
DEBUG:    [07-05-2026 16:12:06] Starting component SqliteDB
DEBUG:    [07-05-2026 16:12:06] Starting component QuotaEnforcer
DEBUG:    [07-05-2026 16:12:06] Starting component Posthog
DEBUG:    [07-05-2026 16:12:06] Starting component LocalSegmentManager
DEBUG:    [07-05-2026 16:12:06] Starting component SegmentAPI
INFO:     [07-05-2026 16:12:06] Started server process [55215]
INFO:     [07-05-2026 16:12:06] Waiting for application startup.
INFO:     [07-05-2026 16:12:06] Application startup complete.
INFO:     [07-05-2026 16:12:06] Uvicorn running on http://localhost:8001 (Press CTRL+C to quit)
INFO:     [07-05-2026 16:19:57] Shutting down
INFO:     [07-05-2026 16:19:57] Waiting for application shutdown.
DEBUG:    [07-05-2026 16:19:57] Stopping component System
DEBUG:    [07-05-2026 16:19:57] Stopping component SegmentAPI
DEBUG:    [07-05-2026 16:19:57] Stopping component LocalSegmentManager
DEBUG:    [07-05-2026 16:19:57] Stopping component Posthog
DEBUG:    [07-05-2026 16:19:57] Stopping component QuotaEnforcer
DEBUG:    [07-05-2026 16:19:57] Stopping component SqliteDB
DEBUG:    [07-05-2026 16:19:57] Stopping component OpenTelemetryClient
INFO:     [07-05-2026 16:19:57] Application shutdown complete.
INFO:     [07-05-2026 16:19:57] Finished server process [55215]
